t2.actividad,codigo_proceso,matched_codigo_arquetipo,matched_nombre_arquetipo,Capacidad de Procesos (Nivel 3),Código Capacidad,Arquetipos Relacionado
contactabilidad ,T160108,ARQ005,Aplicar novedad,Generar la instrucciÃ³n de contactabilidad,,Ejecutar transacciÃ³n monetaria
contactabilidad ,T160108,ARQ005,Aplicar novedad,Generar la instrucciÃ³n de contactabilidad,,Procesar compensaciÃ³n
contactabilidad ,T160108,ARQ005,Aplicar novedad,Generar la instrucciÃ³n de contactabilidad,,Atender solicitudes de usuario
cerrar solicitud ,T160108,ARQ005,Aplicar novedad,Cerrar solicitudes de cumplimiento,,
cerrar solicitud ,T160108,ARQ005,Aplicar novedad,Cerrar solicitud novedad,,
"recibir solicitud de cambio de ciclo para el plan eb8, ec8 o p04 de cartera ",T160108,ARQ022,Generar información,Recibir solicitud,,
recibir solicitud y revisar validaciones ,T160108,ARQ013,Ejecutar transacción monetaria,Recibir solicitud,,
generar informes ,T160108,ARQ013,Ejecutar transacción monetaria,Generar informes de monitoreo,,
recibir solicitud de parametrización ,T160109,ARQ013,Ejecutar transacción monetaria,Recibir solicitud,,
extraer información o recibir solicitud de parametrización ,T160109,ARQ013,Ejecutar transacción monetaria,Recibir solicitud,,
recibir solicitud de parametrización ,T160109,ARQ005,Aplicar novedad,Recibir solicitud,,
gestionar alertas ,T160109,ARQ005,Aplicar novedad,Gestionar alertas,,
realizar trazabilidad ,T160141,ARQ013,Ejecutar transacción monetaria,Realizar trazabilidad solicitudes y aprobaciones de excepcion,,
realizar trazabilidad ,T160141,ARQ013,Ejecutar transacción monetaria,Realizar trazabilidad de la venta digital,,
gestionar novedades ,T160141,ARQ005,Aplicar novedad,Gestionar novedades para campos protegidos,,
gestionar las diferencias ,T160141,ARQ005,Aplicar novedad,Gestionar las diferencias contables,,
entregar productos débito al subgerente ,T160141,ARQ005,Aplicar novedad,Entregar producto,,Aplicar novedad
generar documentos de la operación ,T160146,ARQ005,Aplicar novedad,Generar documento,,Abrir producto
generar documentos de la operación ,T160146,ARQ005,Aplicar novedad,Generar documento,,Aplicar novedad
reportar inconsistencia ,T160147,ARQ013,Ejecutar transacción monetaria,Detectar y reportar inconsistencias operativas,,
recibir documentos ,T160147,ARQ005,Aplicar novedad,Recibir documentos comerciales,,
notificar inconsistencia ,T160147,ARQ013,Ejecutar transacción monetaria,Notificar inconsistencias,,
cerrar casos y comunicar al cliente ,T160161,ARQ093,Constituir colaterales,Cerrar caso.,,
generar indicadores de venta responsable ,T160275,ARQ013,Ejecutar transacción monetaria,Generar indicadores,,
gestionar alertas ,T160275,ARQ093,Constituir colaterales,Gestionar alertas,,
solicitar ajuste ,T160275,ARQ013,Ejecutar transacción monetaria,Solicitar ajustes a cobros realizados,,Solicitar el pago de proveedores y aliados
generar alerta ,T160275,ARQ093,Constituir colaterales,Generar alerta documental,,Procesar documento
generar alerta ,T160275,ARQ093,Constituir colaterales,Generar alertas de eventos o inconsistencias,,
recibir respuesta ,T160275,ARQ093,Constituir colaterales,Recibir respuesta del limite,,
realizar seguimiento ,T160275,ARQ013,Ejecutar transacción monetaria,Realizar seguimiento a planes de acciÃ³n,,
realizar seguimiento ,T160275,ARQ013,Ejecutar transacción monetaria,Realizar seguimiento al desempeÃ±o por etapa del ciclo de vida,,
realizar seguimiento ,T160275,ARQ013,Ejecutar transacción monetaria,Realizar seguimiento a planes de acciÃ³n.,,
monitorear experiencia del cliente [act366] ,T160275,ARQ093,Constituir colaterales,Monitorear experiencia,,Atender solicitudes de usuarios
monitorear experiencia del cliente [act366] ,T160275,ARQ093,Constituir colaterales,Monitorear experiencia,,Atender solicitudes de usuario
identificar oportunidades de mejora ,T160275,ARQ013,Ejecutar transacción monetaria,Identificar oportunidades de mejora del proceso de contenidos,,
generar alertas ,T160275,ARQ093,Constituir colaterales,Generar alertas de eventos o inconsistencias,,
generar alerta ,T160275,ARQ013,Ejecutar transacción monetaria,Generar alerta documental,,Procesar documento
generar alerta ,T160275,ARQ013,Ejecutar transacción monetaria,Generar alertas de eventos o inconsistencias,,
recibir solicitud de licencias ,T160275,ARQ093,Constituir colaterales,Recibir solicitud,,
realizar seguimiento ,T160275,ARQ093,Constituir colaterales,Realizar seguimiento a planes de acciÃ³n,,
realizar seguimiento ,T160275,ARQ093,Constituir colaterales,Realizar seguimiento al desempeÃ±o por etapa del ciclo de vida,,
realizar seguimiento ,T160275,ARQ093,Constituir colaterales,Realizar seguimiento a planes de acciÃ³n.,,
aqr ,T160290,ARQ013,Ejecutar transacción monetaria,Atender solicitudes AQR's ,,
gestionar novedades ,T160290,ARQ013,Ejecutar transacción monetaria,Gestionar novedades para campos protegidos,,
identificar novedades ,T160290,ARQ013,Ejecutar transacción monetaria,Identificar novedades de forma proactiva ,,
cerrar caso de novedad ,T160290,ARQ093,Constituir colaterales,Cerrar caso.,,
realizar ajuste ,T160290,ARQ093,Constituir colaterales,Realizar ajuste a la estructuraciÃ³n del producto,,Estructurar producto
recibir solicitud para generar cuenta de cobro ,T160362,ARQ093,Constituir colaterales,Recibir solicitud,,
analizar resultados ,T160440,ARQ005,Aplicar novedad,Analizar resultados del proceso de monitoreo contable,,
cerrar caso ,T160440,ARQ005,Aplicar novedad,Cerrar caso.,,
revisar condiciones ,T160440,ARQ005,Aplicar novedad,Revisar condiciones /anexos/procedimientos de los convenios,,
gestionar cambios ,T160440,ARQ005,Aplicar novedad,Gestionar cambios de Ãºltima hora y reprogramaciones,,
asociar producto al cliente [cp0358] ,T160444,ARQ005,Aplicar novedad,Asociar producto al cliente,,Abrir producto
asociar producto al cliente [cp0358-03] ,T160444,ARQ005,Aplicar novedad,Asociar producto al cliente,,Abrir producto
asociar producto al cliente [cp0358-02] ,T160444,ARQ005,Aplicar novedad,Asociar producto al cliente,,Abrir producto
asociar producto al cliente [cp0358-01] ,T160444,ARQ005,Aplicar novedad,Asociar producto al cliente,,Abrir producto
atender solicitud ,T160444,ARQ005,Aplicar novedad,Atender solicitudes de entes externos.,,
atender solicitud ,T160444,ARQ005,Aplicar novedad,Atender solicitudes de desembolso,,
atender solicitud ,T160444,ARQ005,Aplicar novedad,Atender solicitudes AQR's ,,
atender solicitud ,T160444,ARQ005,Aplicar novedad,Atender solicitudes del usuario,,
asociar producto al cliente [cp0358-02] ,T160444,ARQ002,Abrir producto,Asociar producto al cliente,,Abrir producto
asociar producto al cliente [cp0358-01] ,T160444,ARQ120,Asegurar disponibilidad de productos financieros fisicos,Asociar producto al cliente,,Abrir producto
asociar producto al cliente [cp0358-02] ,T160444,ARQ120,Asegurar disponibilidad de productos financieros fisicos,Asociar producto al cliente,,Abrir producto
asociar producto al cliente [cp0358] ,T160444,ARQ002,Abrir producto,Asociar producto al cliente,,Abrir producto
asociar producto al cliente [cp0358-21] ,T160444,ARQ120,Asegurar disponibilidad de productos financieros fisicos,Asociar producto al cliente,,Abrir producto
asociar producto al cliente [cp0358-01] ,T160444,ARQ002,Abrir producto,Asociar producto al cliente,,Abrir producto
asociar producto al cliente [cp0358] ,T160444,ARQ120,Asegurar disponibilidad de productos financieros fisicos,Asociar producto al cliente,,Abrir producto
asociar producto al cliente [cp0358-04] ,T160444,ARQ039,Ejecutar el desembolso,Asociar producto al cliente,,Abrir producto
asociar producto al cliente [cp0358-03] ,T160444,ARQ039,Ejecutar el desembolso,Asociar producto al cliente,,Abrir producto
asociar producto al cliente [cp0358-01] ,T160444,ARQ039,Ejecutar el desembolso,Asociar producto al cliente,,Abrir producto
elaborar informe o reporte [cp1078] ,T160444,ARQ039,Ejecutar el desembolso,Elaborar informe o reporte,,Generar informaciÃ³n
cerrar casos de bizagi ,T160452,ARQ039,Ejecutar el desembolso,Cerrar caso.,,
consultar solicitudes pendientes ,T160456,ARQ120,Asegurar disponibilidad de productos financieros fisicos,Consultar solicitudes,,Atender solicitudes de usuarios
consultar solicitudes pendientes ,T160456,ARQ120,Asegurar disponibilidad de productos financieros fisicos,Consultar solicitudes,,Atender solicitudes de usuario
reportar inconsistencias ,T160456,ARQ002,Abrir producto,Detectar y reportar inconsistencias operativas,,
gestionar novedades ,T160642,ARQ001,Realizar Estudio de Crédito,Gestionar novedades para campos protegidos,,
recibir solicitud de ajuste al pago ,T160642,ARQ001,Realizar Estudio de Crédito,Recibir solicitud,,
crear caso ,T160642,ARQ001,Realizar Estudio de Crédito,Crear Caso de investigaciÃ³n.,,
1\. identificar tipo de novedad ,T160642,ARQ001,Realizar Estudio de Crédito,Identificar tipo de novedad,,Aplicar novedad
1\. identificar tipo de novedad ,T160642,ARQ001,Realizar Estudio de Crédito,Identificar tipo de novedad,,Aplicar novedades
atender solicitud ,T160654,ARQ013,Ejecutar transacción monetaria,Atender solicitudes de entes externos.,,
atender solicitud ,T160654,ARQ013,Ejecutar transacción monetaria,Atender solicitudes de desembolso,,
atender solicitud ,T160654,ARQ013,Ejecutar transacción monetaria,Atender solicitudes AQR's ,,
atender solicitud ,T160654,ARQ013,Ejecutar transacción monetaria,Atender solicitudes del usuario,,
cerrar solicitud ,T160666,ARQ013,Ejecutar transacción monetaria,Cerrar solicitudes de cumplimiento,,
cerrar solicitud ,T160666,ARQ013,Ejecutar transacción monetaria,Cerrar solicitud novedad,,
extraer datos ,T160667,ARQ013,Ejecutar transacción monetaria,Extraer datos e informaciÃ³n,,
gestionar novedades ,T160667,ARQ013,Ejecutar transacción monetaria,Gestionar novedades para campos protegidos,,
procesar datos ,T160667,ARQ013,Ejecutar transacción monetaria,Procesar dato,,Generar informaciÃ³n
recibir solicitud de parámetro ,T160668,ARQ013,Ejecutar transacción monetaria,Recibir solicitud,,
guardar ,T160668,ARQ013,Ejecutar transacción monetaria,Guardar el resultado de la simulaciÃ³n,,Abrir producto
guardar ,T160668,ARQ013,Ejecutar transacción monetaria,Guardar el resultado de la simulaciÃ³n,,Aplicar novedad
recibir solicitud o novedad ,T160668,ARQ013,Ejecutar transacción monetaria,Recibir solicitud,,
gestionar novedad ,T160668,ARQ013,Ejecutar transacción monetaria,Gestionar novedades para campos protegidos,,
solicitar ajuste ,T160668,ARQ013,Ejecutar transacción monetaria,Solicitar ajustes a cobros realizados,,Solicitar el pago de proveedores y aliados
cerrar caso ,T160668,ARQ013,Ejecutar transacción monetaria,Cerrar caso.,,
atender requerimiento ,T160668,ARQ005,Aplicar novedad,Atender requerimientos de auditorÃ­a,,
notificar al cliente ,T160668,ARQ005,Aplicar novedad,Notificar al clientes activaciÃ³n del producto,,
solicitar ajustes ,T160668,ARQ005,Aplicar novedad,Solicitar ajustes a cobros realizados,,Solicitar el pago de proveedores y aliados
aplicar cambio ,T160668,ARQ005,Aplicar novedad,Aplicar cambios solicitados,,
recibir solicitud servicio ,T160668,ARQ005,Aplicar novedad,Recibir solicitud,,
elaborar informe o reporte [cmp86] ,T160668,ARQ005,Aplicar novedad,Elaborar informe o reporte,,Generar informaciÃ³n
recibir solicitud del canal ,PAN040310,ARQ005,Aplicar novedad,Recibir solicitud,,
recibir solicitud de mailpoint ,PAN040310,ARQ013,Ejecutar transacción monetaria,Recibir solicitud,,
recibir solicitud ,PAN040310,ARQ002,Abrir producto,Recibir solicitud,,
reportar inconsistencias ,PAN040705,ARQ002,Abrir producto,Detectar y reportar inconsistencias operativas,,
segmentar cliente ,PAN050802,ARQ013,Ejecutar transacción monetaria,Segmentar cliente,,
segmentar cliente ,PAN050802,ARQ013,Ejecutar transacción monetaria,Segmentar cliente,,Realizar VinculaciÃ³n
cerrar solicitud ,PAN050802,ARQ002,Abrir producto,Cerrar solicitudes de cumplimiento,,
cerrar solicitud ,PAN050802,ARQ002,Abrir producto,Cerrar solicitud novedad,,
c007: evaluar debida diligencia alto riesgo ,PAN050802,ARQ013,Ejecutar transacción monetaria,Evaluar debida diligencia,,Realizar VinculaciÃ³n
cerrar solicitud ,PAN050802,ARQ013,Ejecutar transacción monetaria,Cerrar solicitudes de cumplimiento,,
cerrar solicitud ,PAN050802,ARQ013,Ejecutar transacción monetaria,Cerrar solicitud novedad,,
capturar datos ,PAN050802,ARQ013,Ejecutar transacción monetaria,Capturar datos,,Administrar servicio en canales
capturar datos ,PAN050802,ARQ013,Ejecutar transacción monetaria,Capturar datos e interacciones del cliente,,Ninguno
recibir solicitud de vinculación ,PAN050802,ARQ013,Ejecutar transacción monetaria,Recibir solicitud,,
segmentar cliente ,PAN050802,ARQ002,Abrir producto,Segmentar cliente,,
segmentar cliente ,PAN050802,ARQ002,Abrir producto,Segmentar cliente,,Realizar VinculaciÃ³n
c007: evaluar debida diligencia alto riesgo ,PAN050802,ARQ002,Abrir producto,Evaluar debida diligencia,,Realizar VinculaciÃ³n
capturar datos ,PAN050802,ARQ002,Abrir producto,Capturar datos,,Administrar servicio en canales
capturar datos ,PAN050802,ARQ002,Abrir producto,Capturar datos e interacciones del cliente,,Ninguno
recibir solicitud de vinculación ,PAN050802,ARQ002,Abrir producto,Recibir solicitud,,
c004:gestionar alertas de derechos de petición ,T050301,ARQ002,Abrir producto,Gestionar alertas,,
identificar brechas ,T051923,ARQ013,Ejecutar transacción monetaria,Identificar brechas entre mensaje emitido y percepciÃ³n recibida,,
generar documento legal [act369] ,T051923,ARQ039,Ejecutar el desembolso,Generar documento,,Abrir producto
generar documento legal [act369] ,T051923,ARQ039,Ejecutar el desembolso,Generar documento,,Aplicar novedad
exponer valor a cobrar cp391 ,T051923,ARQ013,Ejecutar transacción monetaria,Exponer valor a cobrar,,Ejecutar transacciÃ³n monetaria
exponer precio y/o beneficio cp490 ,T051923,ARQ039,Ejecutar el desembolso,Exponer precio y/o beneficio,,"Determinar y calcular rentabilidad del cliente, precios y beneficios "
generar precio cp489 ,T051923,ARQ005,Aplicar novedad,Generar precio ,,"Determinar y calcular rentabilidad del cliente, precios y beneficios "
generar documento de aceptación de condiciones ,T051923,ARQ005,Aplicar novedad,Generar documento,,Abrir producto
generar documento de aceptación de condiciones ,T051923,ARQ005,Aplicar novedad,Generar documento,,Aplicar novedad
generar alertas ,T051923,ARQ005,Aplicar novedad,Generar alertas de eventos o inconsistencias,,
aplicar reglas de negocio en compras y facturas ,T051923,ARQ005,Aplicar novedad,Aplicar reglas de negocio,,Generar informaciÃ³n
realizar firma [cmt78] ,T051924,ARQ005,Aplicar novedad,Realizar firma,,Abrir producto
notificar al cliente ,T051924,ARQ005,Aplicar novedad,Notificar al clientes activaciÃ³n del producto,,
realizar seguimiento ,T051924,ARQ005,Aplicar novedad,Realizar seguimiento a planes de acciÃ³n,,
realizar seguimiento ,T051924,ARQ005,Aplicar novedad,Realizar seguimiento al desempeÃ±o por etapa del ciclo de vida,,
realizar seguimiento ,T051924,ARQ005,Aplicar novedad,Realizar seguimiento a planes de acciÃ³n.,,
habilitar pago ,T051924,ARQ005,Aplicar novedad,Habilitar pago de obligaciones,,
entregar producto [act151] ,T051924,ARQ022,Generar información,Entregar producto,,Aplicar novedad
realizar firma [cmt78] ,T051924,ARQ022,Generar información,Realizar firma,,Abrir producto
notificar al cliente ,T051924,ARQ022,Generar información,Notificar al clientes activaciÃ³n del producto,,
realizar ajuste ,T080508,ARQ114,Realizar Vinculación,Realizar ajuste a la estructuraciÃ³n del producto,,Estructurar producto
conciliar transacciones ,T080516,ARQ114,Realizar Vinculación,Conciliar transacciones y registros operativos,,
certificar cuentas contables de recaudos ,T080516,ARQ027,Atender solicitudes de usuario,Certificar cuenta,,Ejecutar el cuadre contable del producto
solicitar ajuste ,T080902,ARQ027,Atender solicitudes de usuario,Solicitar ajustes a cobros realizados,,Solicitar el pago de proveedores y aliados
realizar ajuste ,T080902,ARQ027,Atender solicitudes de usuario,Realizar ajuste a la estructuraciÃ³n del producto,,Estructurar producto
certificar cuenta ,T080902,ARQ027,Atender solicitudes de usuario,Certificar cuenta,,Ejecutar el cuadre contable del producto
c009 certificar cuenta ,T080902,ARQ027,Atender solicitudes de usuario,Certificar cuenta,,Ejecutar el cuadre contable del producto
c005:certificar cuenta ,T080902,ARQ027,Atender solicitudes de usuario,Certificar cuenta,,Ejecutar el cuadre contable del producto
generar alerta ,T081001,ARQ140,Administrar servicio en canales,Generar alerta documental,,Procesar documento
generar alerta ,T081001,ARQ140,Administrar servicio en canales,Generar alertas de eventos o inconsistencias,,
escalar novedad ,T081001,ARQ140,Administrar servicio en canales,Escalar novedades,,
notificar inconsistencia ,T081001,ARQ114,Realizar Vinculación,Notificar inconsistencias,,
generar documentos de pago ,T081001,ARQ027,Atender solicitudes de usuario,Generar documento,,Abrir producto
generar documentos de pago ,T081001,ARQ027,Atender solicitudes de usuario,Generar documento,,Aplicar novedad
recibir solicitud de novedad del establecimiento ,T160057,ARQ123,Ejecutar cuadre contable del producto,Recibir solicitud,,
escalar novedad ,T160057,ARQ123,Ejecutar cuadre contable del producto,Escalar novedades,,
custodiar documento ,T160057,ARQ123,Ejecutar cuadre contable del producto,Custodiar documento,,Procesar documento
cerrar caso como exitoso en flujo de flujos ,T160057,ARQ123,Ejecutar cuadre contable del producto,Cerrar caso.,,
recibir solicitud y cargar plantilla en ruta controles ,T160057,ARQ123,Ejecutar cuadre contable del producto,Recibir solicitud,,
generar documentos ,T160065,ARQ123,Ejecutar cuadre contable del producto,Generar documento,,Abrir producto
generar documentos ,T160065,ARQ123,Ejecutar cuadre contable del producto,Generar documento,,Aplicar novedad
recibir solicitud y hacer validaciones ,T160065,ARQ123,Ejecutar cuadre contable del producto,Recibir solicitud,,
recibir solicitud y cargar plantilla en ruta controles ,T160065,ARQ123,Ejecutar cuadre contable del producto,Recibir solicitud,,
monitorear eventos ,T160076,ARQ123,Ejecutar cuadre contable del producto,Monitorear eventos criticos,,
realizar pruebas de conexión ,T160076,ARQ123,Ejecutar cuadre contable del producto,Realizar pruebas,,
recibir solicitud del cliente y radicar solicitud ,T160087,ARQ022,Generar información,Recibir solicitud,,
recibir solicitud del cliente ,T160087,ARQ022,Generar información,Recibir solicitud,,
recibir solicitud ,T160087,ARQ005,Aplicar novedad,Recibir solicitud,,
notificar al cliente ,T160087,ARQ005,Aplicar novedad,Notificar al clientes activaciÃ³n del producto,,
notificar inconsistencia ,T160087,ARQ005,Aplicar novedad,Notificar inconsistencias,,
recibir solicitud del cliente y radicar solicitud ,T160087,ARQ005,Aplicar novedad,Recibir solicitud,,
recibir solicitud del cliente ,T160087,ARQ005,Aplicar novedad,Recibir solicitud,,
atender solicitud ,T160099,ARQ002,Abrir producto,Atender solicitudes de entes externos.,,
atender solicitud ,T160099,ARQ002,Abrir producto,Atender solicitudes de desembolso,,
atender solicitud ,T160099,ARQ002,Abrir producto,Atender solicitudes AQR's ,,
atender solicitud ,T160099,ARQ002,Abrir producto,Atender solicitudes del usuario,,
atender solicitud ,T160108,ARQ002,Abrir producto,Atender solicitudes de entes externos.,,
atender solicitud ,T160108,ARQ002,Abrir producto,Atender solicitudes de desembolso,,
atender solicitud ,T160108,ARQ002,Abrir producto,Atender solicitudes AQR's ,,
atender solicitud ,T160108,ARQ002,Abrir producto,Atender solicitudes del usuario,,
recibir solicitud de mantenimiento por parte del cliente ,T160108,ARQ002,Abrir producto,Recibir solicitud,,
recibir solicitud y revisar validaciones ,T160108,ARQ002,Abrir producto,Recibir solicitud,,
contactabilidad ,T160108,ARQ002,Abrir producto,Ejecutar misiones mediante contactabilidad,,Ninguno
contactabilidad ,T160108,ARQ002,Abrir producto,Recomendar ajustes de contactabilidad,,Ninguno
contactabilidad ,T160108,ARQ002,Abrir producto,Generar la instrucciÃ³n de contactabilidad,,Abrir producto
contactabilidad ,T160108,ARQ002,Abrir producto,Generar la instrucciÃ³n de contactabilidad,,Atender solicitudes de usuarios
contactabilidad ,T160108,ARQ002,Abrir producto,Generar la instrucciÃ³n de contactabilidad,,Ejecutar transacciÃ³n monetaria
contactabilidad ,T160108,ARQ002,Abrir producto,Generar la instrucciÃ³n de contactabilidad,,Procesar compensaciÃ³n
contactabilidad ,T160108,ARQ002,Abrir producto,Generar la instrucciÃ³n de contactabilidad,,Atender solicitudes de usuario
cerrar solicitud ,T160108,ARQ002,Abrir producto,Cerrar solicitudes de cumplimiento,,
cerrar solicitud ,T160108,ARQ002,Abrir producto,Cerrar solicitud novedad,,
"recibir solicitud de cambio de ciclo para el plan eb8, ec8 o p04 de cartera ",T160108,ARQ002,Abrir producto,Recibir solicitud,,
generar informes ,T160108,ARQ002,Abrir producto,Generar informes de monitoreo,,
custodiar documentos definitivo datafile ,T160112,ARQ013,Ejecutar transacción monetaria,Custodiar documento,,Procesar documento
recibir solicitud ,T160112,ARQ013,Ejecutar transacción monetaria,Recibir solicitud,,
monitorear ,T160112,ARQ013,Ejecutar transacción monetaria,Monitorear metodologÃ­as de riesgos de cumplimiento.,,
monitorear ,T160112,ARQ013,Ejecutar transacción monetaria,Monitorear cierre de caso.,,
monitorear ,T160112,ARQ013,Ejecutar transacción monetaria,Monitorear el conocimiento.,,
monitorear ,T160112,ARQ013,Ejecutar transacción monetaria,Monitorear entorno de cumplimiento.,,
