Código,Nombre de la Actividad,Descripción Funcional,Prioridad de Reúso,Tipo de Elemento,Sinónimos (Variantes),Dominio de Arquitectura,Arquetipos en  donde aplica,Hipervinculo,Diseño para la Automatización
CMP78,Clasificar Solicitud,Clasificar una solicitud según criterios definidos para organizar su atención y dirigirla al flujo correspondiente dentro del proceso.,1,Componente de Procesos,"Identificar solicitud, Categorizar requerimiento, Definir clasificación",No aplica Dominio AP,No aplica Arquetipo,,Diseño Pendiente
CMP80,Generar radicado de solicitud,"Generar el radicado que identificará una solicitud durante todo su ciclo, asegurando su trazabilidad y permitiendo su consulta y seguimiento.",1,Componente de Procesos,"Registrar solicitud, Crear radicado, Ingresar documento",No aplica Dominio AP,No aplica Arquetipo,,Diseño Pendiente
CMP81,Consultar Información De Productos,"Consultar la información de los productos asociados a un cliente, obteniendo los datos relevantes para comprender su relación con el portafolio y avanzar en el proceso correspondiente.",1,Componente de Procesos,"Consultar producto, Verificar condición, Revisar vínculo",No aplica Dominio AP,No aplica Arquetipo,https://bancolombia.sharepoint.com/:u:/r/sites/co-apr/Documentos%20compartidos/Dise%C3%B1o/Componentes%20reusables/CMP81%20Consultar%20informaci%C3%B3n%20de%20productos.bpm,Diseño para la automatización CMP81
CMP85,Validar vigencia de la solicitud,"Validar el vencimiento determinando si un elemento con fecha de caducidad está vigente, próximo a vencer o expirado, según las reglas del proceso, para permitir controles y decisiones basadas en su estado.",1,Componente de Procesos,"Verificar vencimiento, Revisar plazo, Confirmar vigencia",No aplica Dominio AP,No aplica Arquetipo,,Diseño Pendiente
CMP86,Elaborar Informe,"Elaborar un informe o reporte organizando y presentando información de manera clara y confiable, a partir de datos validados y estructurados, para apoyar la toma de decisiones y la comunicación de resultados dentro del proceso.",1,Componente de Procesos,"Generar resultado, Presentar información, Construir resumen",No aplica Dominio AP,No aplica Arquetipo,,Diseño Pendiente
CMP87,Actualizar estado de solicitud,"Cambiar el estado de una solicitud dentro del flujo de trabajo, siguiendo las reglas configuradas y sincronizando la actualización con los sistemas involucrados, con trazabilidad de la acción.",1,Componente de Procesos,"Actualizar Estado, Cambiar Etapa, Escalar Flujo",No aplica Dominio AP,No aplica Arquetipo,,Diseño Pendiente
CMP92,Grabar Desembolso,Grabar el desembolso registrando la información en el sistema core y notificando a las áreas involucradas para que gestionen los pasos siguientes.,1,Componente de Procesos,"Registrar Desembolso, Grabar Pago, Acreditar Cuenta",No aplica Dominio AP,No aplica Arquetipo,,Diseño Pendiente
CMT76,Conciliar Información,"Conciliar información comparando datos de múltiples fuentes para identificar coincidencias, diferencias o novedades, dejando disponibles los resultados para gestionar inconsistencias o tomar decisiones.",1,Componente de Procesos,"Cruzar datos, Verificar consistencia, Identificar diferencias",No aplica Dominio AP,No aplica Arquetipo,https://bancolombia.sharepoint.com/:u:/r/sites/co-apr/Documentos%20compartidos/Dise%C3%B1o/Componentes%20reusables/CMT76%20Conciliar%20informaci%C3%B3n.bpm,Diseño para la automatización CMT76
CMT78,Firmar Documento Digital,"Realizar la firma identificando el documento a suscribir, aceptando las condiciones establecidas y ejecutando la firma por el medio autorizado, dejando el documento disponible para su uso posterior.",1,Componente de Procesos,"Firmar documento, Gestionar autenticidad, Validar firma",No aplica Dominio AP,No aplica Arquetipo,https://bancolombia.sharepoint.com/:u:/r/sites/co-apr/Documentos%20compartidos/Dise%C3%B1o/Componentes%20reusables/CMT78%20-%20Realizar%20Firma.bpm,Diseño para la automatización CMT78
CMT79,Radicar Solicitud,Radicar una solicitud registrándola formalmente en el sistema y creando el caso inicial que se gestionará en el proceso.,1,Componente de Procesos,"Registrar petición, Ingresar requerimiento, Documentar ingreso",No aplica Dominio AP,No aplica Arquetipo,,Diseño Pendiente
CMT81,Validar Identidad Del Cliente,"Validar la identidad del cliente comprobando que la información y el método de autenticación utilizado corresponde al usuario legítimo, habilitando o restringiendo el acceso según el resultado.",1,Componente de Procesos,"Autenticar persona, Verificar identidad, Validar identidad",No aplica Dominio AP,No aplica Arquetipo,,Diseño Pendiente
CP0005,Definir estrategia de riesgos de cumplimiento.,"Establece la visión y objetivos estratégicos para la gestión de riesgos de cumplimiento, asegurando alineación con la normativa y los objetivos corporativos.",2,Capacidad de Procesos,Definir estrategia de riesgos de cumplimiento.,Cumplimiento,Sin Arquetipo asociado,,Diseño Pendiente
CP0006,Definir lineamientos de riesgos de cumplimiento.,Define principios y directrices que orientan la gestión de riesgos en toda la organización.,2,Capacidad de Procesos,Definir estrategia de riesgos de cumplimiento.,Cumplimiento,Sin Arquetipo asociado,,Diseño Pendiente
CP0007,Definir metodologías de riesgos de cumplimiento. ,"Diseña métodos y herramientas para identificar, evaluar y mitigar riesgos de cumplimiento.",2,Capacidad de Procesos,Definir estrategia de riesgos de cumplimiento.,Cumplimiento,Sin Arquetipo asociado,,Diseño Pendiente
CP0008,Divulgar direccionamiento de riesgos de cumplimiento.,Comunica la estrategia y lineamientos a las partes interesadas para garantizar su implementación.,2,Capacidad de Procesos,Definir estrategia de riesgos de cumplimiento.,Cumplimiento,Sin Arquetipo asociado,,Diseño Pendiente
CP0009,Monitorear metodologías de riesgos de cumplimiento.,Supervisa la aplicación de metodologías para asegurar su efectividad y actualización.,2,Capacidad de Procesos,Definir estrategia de riesgos de cumplimiento.,Cumplimiento,Sin Arquetipo asociado,,Diseño Pendiente
CP0010,Identificar cambios metodologicos.,Detecta necesidades de ajuste en las metodologías por cambios regulatorios o internos.,2,Capacidad de Procesos,Definir estrategia de riesgos de cumplimiento.,Cumplimiento,Sin Arquetipo asociado,,Diseño Pendiente
CP0011,Medir cambios Metodologicos.,Evalúa el impacto de las modificaciones en la gestión de riesgos.,2,Capacidad de Procesos,Definir estrategia de riesgos de cumplimiento.,Cumplimiento,Sin Arquetipo asociado,,Diseño Pendiente
CP0012,Diseñar cambios metodologicos.,Desarrolla nuevas versiones de metodologías para mejorar la gestión de riesgos.,2,Capacidad de Procesos,Definir estrategia de riesgos de cumplimiento.,Cumplimiento,Sin Arquetipo asociado,,Diseño Pendiente
CP0013,Actualizar Metodologías.,Implementa las modificaciones aprobadas en los procesos de riesgo.,2,Capacidad de Procesos,Definir estrategia de riesgos de cumplimiento.,Cumplimiento,Sin Arquetipo asociado,,Diseño Pendiente
CP0014,Definir marco de actuación corporativo.,Establece las normas y principios que rigen el comportamiento ético y regulatorio.,2,Capacidad de Procesos,Definir estrategia de riesgos de cumplimiento.,Cumplimiento,Sin Arquetipo asociado,,Diseño Pendiente
CP0015,Asegurar gobierno corporativo,Gestiona la estructura y procesos que aseguran la toma de decisiones alineadas con el cumplimiento.,2,Capacidad de Procesos,Definir estrategia de riesgos de cumplimiento.,Cumplimiento,Sin Arquetipo asociado,,Diseño Pendiente
CP0016,Definir y aprobar políticas de cumplimiento.,Crea y valida políticas que aseguren el cumplimiento en la organización.,2,Capacidad de Procesos,Definir estrategia de riesgos de cumplimiento.,Cumplimiento,Sin Arquetipo asociado,,Diseño Pendiente
CP0017,Actualizar marcos regulatorios nacionales e internacionales.,Garantiza que las políticas estén alineadas con regulaciones aplicables.,2,Capacidad de Procesos,Definir estrategia de riesgos de cumplimiento.,Cumplimiento,Sin Arquetipo asociado,,Diseño Pendiente
CP0018,Crear datos de seguridad,"Generar y registrar los datos de seguridad asociados a un producto, necesarios para su uso seguro y controlado a lo largo de su ciclo de vida.
Esta capacidad permite crear los elementos de seguridad del producto, tales como códigos de verificación (por ejemplo, CVC/CVV), fecha de vencimiento, identificadores de seguridad u otros datos sensibles.",2,Capacidad de Procesos,"Generar credenciales de acceso, Registrar información de autenticación, Configurar datos de protección, Establecer parámetros de seguridad",Negocios,Abrir producto,,Diseño Pendiente
CP0019,Actualizar políticas y procedimientos conforme a nuevas regulaciones.,Modifica políticas y procedimientos para cumplir con cambios normativos.,2,Capacidad de Procesos,Definir estrategia de riesgos de cumplimiento.,Cumplimiento,Sin Arquetipo asociado,,Diseño Pendiente
CP0020,Brindar asesoramiento especializado.,Brinda orientación técnica y especializada sobre cumplimiento.,2,Capacidad de Procesos,Definir estrategia de riesgos de cumplimiento.,Cumplimiento,Sin Arquetipo asociado,,Diseño Pendiente
CP0021,Identificar riesgos de cumplimiento.,Detecta riesgos potenciales en procesos internos que puedan generar incumplimientos.,2,Capacidad de Procesos,Definir estrategia de riesgos de cumplimiento.,Cumplimiento,Sin Arquetipo asociado,,Diseño Pendiente
CP0022,Evaluar impacto normativo en procesos internos.,Analiza cómo las regulaciones afectan los procesos internos y define ajustes necesarios.,2,Capacidad de Procesos,Definir estrategia de riesgos de cumplimiento.,Cumplimiento,Sin Arquetipo asociado,,Diseño Pendiente
CP0023,"Implementar controles preventivos, detectivos y correctivos.","Establece mecanismos para prevenir, detectar y corregir incumplimientos.",2,Capacidad de Procesos,Definir estrategia de riesgos de cumplimiento.,Cumplimiento,Sin Arquetipo asociado,,Diseño Pendiente
CP0024,Establecer roles y responsabilidades.,Define claramente las funciones y responsabilidades en materia de cumplimiento.,2,Capacidad de Procesos,Definir estrategia de riesgos de cumplimiento.,Cumplimiento,Sin Arquetipo asociado,,Diseño Pendiente
CP0025,Brindar acompañamiento experto.,Brinda soporte técnico y metodológico en la implementación de procesos de cumplimiento.,2,Capacidad de Procesos,Definir estrategia de riesgos de cumplimiento.,Cumplimiento,Sin Arquetipo asociado,,Diseño Pendiente
CP0026,Supervisar ejecución de controles.,Supervisa la efectividad de los controles implementados.,2,Capacidad de Procesos,Definir estrategia de riesgos de cumplimiento.,Cumplimiento,Sin Arquetipo asociado,,Diseño Pendiente
CP0027,Analizar incidentes de incumplimiento.,Documenta y analiza los casos de incumplimiento para prevenir recurrencias,2,Capacidad de Procesos,Definir estrategia de riesgos de cumplimiento.,Cumplimiento,Sin Arquetipo asociado,,Diseño Pendiente
CP0028,Custodiar evidencias.,Garantiza la conservación segura de evidencias relacionadas con cumplimiento.,2,Capacidad de Procesos,Definir estrategia de riesgos de cumplimiento.,Cumplimiento,Sin Arquetipo asociado,,Diseño Pendiente
CP0029,Supervisar aplicación de medidas disciplinarias.,Ejecuta sanciones conforme a políticas internas ante incumplimientos.,2,Capacidad de Procesos,Definir estrategia de riesgos de cumplimiento.,Cumplimiento,Sin Arquetipo asociado,,Diseño Pendiente
CP0030,Elaborar informes e indicadores.,Genera reportes que reflejan el estado del cumplimiento.,2,Capacidad de Procesos,Definir estrategia de riesgos de cumplimiento.,Cumplimiento,Sin Arquetipo asociado,,Diseño Pendiente
CP0031,Supervisar hallazgos.,Administra hallazgos detectados en auditorías o revisiones.,2,Capacidad de Procesos,Definir estrategia de riesgos de cumplimiento.,Cumplimiento,Sin Arquetipo asociado,,Diseño Pendiente
CP0032,Asociar cuenta al producto,"Vincular una cuenta bancaria con un producto específico, estableciendo la relación operativa necesaria para su funcionamiento.
Esta capacidad permite asociar una cuenta existente al producto generado, definiendo el rol de la cuenta (origen, destino, recaudo, pago, inversión u otro), y asegurando que el producto pueda recibir, registrar o ejecutar movimientos de acuerdo con las condiciones definidas.",2,Capacidad de Procesos,"Vincular cuenta al producto, Enlazar cuenta con el producto, Relacionar cuenta al producto, Asignar cuenta al producto",Negocios,Abrir producto,,Diseño Pendiente
CP0033,Retroalimentar desempeño de supervisión.,Proporciona recomendaciones para optimizar procesos.,2,Capacidad de Procesos,Definir estrategia de riesgos de cumplimiento.,Cumplimiento,Sin Arquetipo asociado,,Diseño Pendiente
CP0035,Definir escenarios de riesgo de cumplimiento transaccional.,Establece los posibles escenarios y tipologías de riesgo para anticipar conductas que puedan generar incumplimientos.,2,Capacidad de Procesos,Definir estrategia de riesgos de cumplimiento.,Cumplimiento,Sin Arquetipo asociado,,Diseño Pendiente
CP0036,Definir reglas de alerta de cumplimiento transaccional.,Configura reglas y límites que activan alertas ante eventos sospechosos o incumplimientos.,2,Capacidad de Procesos,Definir estrategia de riesgos de cumplimiento.,Cumplimiento,Sin Arquetipo asociado,,Diseño Pendiente
CP0037,Realizar monitoreo transaccional.,Implementa modelos automatizados para vigilar transacciones y procesos en tiempo real.,2,Capacidad de Procesos,Definir estrategia de riesgos de cumplimiento.,Cumplimiento,Sin Arquetipo asociado,,Diseño Pendiente
CP0038,Generar Alertas transaccionales.,Emite alertas ante la detección de anomalías o incumplimientos.,2,Capacidad de Procesos,Definir estrategia de riesgos de cumplimiento.,Cumplimiento,Sin Arquetipo asociado,,Diseño Pendiente
CP0039,Definir escenarios de riesgo de cumplimiento no transaccional.,Establece los posibles escenarios y tipologías de riesgo para anticipar conductas que puedan generar incumplimientos.,2,Capacidad de Procesos,Definir estrategia de riesgos de cumplimiento.,Cumplimiento,Sin Arquetipo asociado,,Diseño Pendiente
CP0040,Definir reglas de alerta de cumplimiento no  transaccional.,Configura reglas y límites que activan alertas ante eventos sospechosos o incumplimientos.,2,Capacidad de Procesos,Definir estrategia de riesgos de cumplimiento.,Cumplimiento,Sin Arquetipo asociado,,Diseño Pendiente
CP0041,Realizar monitoreo no transaccional.,Implementa modelos automatizados para vigilar transacciones y procesos en tiempo real.,2,Capacidad de Procesos,Definir estrategia de riesgos de cumplimiento.,Cumplimiento,Sin Arquetipo asociado,,Diseño Pendiente
CP0042,Generar Alertas no transaccionales.,Emite alertas ante la detección de anomalías o incumplimientos.,2,Capacidad de Procesos,Definir estrategia de riesgos de cumplimiento.,Cumplimiento,Sin Arquetipo asociado,,Diseño Pendiente
CP0043,Registrar denuncias y reportes.,Administra la recepción de denuncias internas o externas relacionadas con incumplimientos.,2,Capacidad de Procesos,Definir estrategia de riesgos de cumplimiento.,Cumplimiento,Sin Arquetipo asociado,,Diseño Pendiente
CP0044,Clasificar denuncias y reportes.,Categoriza las denuncias según su naturaleza y nivel de riesgo.,2,Capacidad de Procesos,Definir estrategia de riesgos de cumplimiento.,Cumplimiento,Sin Arquetipo asociado,,Diseño Pendiente
CP0045,Verificar denuncias y reportes.,Verifica la veracidad inicial de la denuncia antes de iniciar investigación formal.,2,Capacidad de Procesos,Definir estrategia de riesgos de cumplimiento.,Cumplimiento,Sin Arquetipo asociado,,Diseño Pendiente
CP0046,Registrar alertas de cumplimiento.,Administra la recepción de alertas generadas por sistemas o procesos internos.,2,Capacidad de Procesos,Definir estrategia de riesgos de cumplimiento.,Cumplimiento,Sin Arquetipo asociado,,Diseño Pendiente
CP0047,Clasificar Alertas de cumplimiento.,Organiza las alertas según su tipo y criticidad para priorizar acciones.,2,Capacidad de Procesos,Definir estrategia de riesgos de cumplimiento.,Cumplimiento,Sin Arquetipo asociado,,Diseño Pendiente
CP0048,Priorizar Alertas de cumplimiento.,Determina el orden de atención según impacto y urgencia.,2,Capacidad de Procesos,Definir estrategia de riesgos de cumplimiento.,Cumplimiento,Sin Arquetipo asociado,,Diseño Pendiente
CP0049,Consolidar alertas por reglas de negocio.,Consolida alertas similares para optimizar la gestión.,2,Capacidad de Procesos,Definir estrategia de riesgos de cumplimiento.,Cumplimiento,Sin Arquetipo asociado,,Diseño Pendiente
CP0050,Distribuir Alertas de cumplimiento.,Asigna las alertas a las áreas responsables para su análisis.,2,Capacidad de Procesos,Definir estrategia de riesgos de cumplimiento.,Cumplimiento,Sin Arquetipo asociado,,Diseño Pendiente
CP0051,Crear Caso de investigación.,Genera un expediente formal para investigar alertas relevantes.,2,Capacidad de Procesos,Definir estrategia de riesgos de cumplimiento.,Cumplimiento,Sin Arquetipo asociado,,Diseño Pendiente
CP0052,Notificar creación del caso.,Comunica a las partes involucradas la apertura del caso.,2,Capacidad de Procesos,Definir estrategia de riesgos de cumplimiento.,Cumplimiento,Sin Arquetipo asociado,,Diseño Pendiente
CP0053,Consultar Información del caso.,Permite acceder a los datos recopilados durante la investigación.,2,Capacidad de Procesos,Definir estrategia de riesgos de cumplimiento.,Cumplimiento,Sin Arquetipo asociado,,Diseño Pendiente
CP0054,Solicitar Información del caso.,Facilita la solicitud de datos adicionales para completar la investigación.,2,Capacidad de Procesos,Definir estrategia de riesgos de cumplimiento.,Cumplimiento,Sin Arquetipo asociado,,Diseño Pendiente
CP0055,Consolidar Información del caso.,Integra toda la información relevante en un expediente único.,2,Capacidad de Procesos,Definir estrategia de riesgos de cumplimiento.,Cumplimiento,Sin Arquetipo asociado,,Diseño Pendiente
CP0056,Indexar Información al caso,Asocia la información recopilada al expediente correspondiente.,2,Capacidad de Procesos,Definir estrategia de riesgos de cumplimiento.,Cumplimiento,Sin Arquetipo asociado,,Diseño Pendiente
CP0057,Analizar caso de investigación.,Evalúa la información para determinar la existencia de incumplimiento.,2,Capacidad de Procesos,Definir estrategia de riesgos de cumplimiento.,Cumplimiento,Sin Arquetipo asociado,,Diseño Pendiente
CP0058,Documentar caso de investigación.,Registra los hallazgos y conclusiones en un informe formal.,2,Capacidad de Procesos,Definir estrategia de riesgos de cumplimiento.,Cumplimiento,Sin Arquetipo asociado,,Diseño Pendiente
CP0059,Emitir decisiones del caso.,Asienta las resoluciones adoptadas tras la investigación.,2,Capacidad de Procesos,Definir estrategia de riesgos de cumplimiento.,Cumplimiento,Sin Arquetipo asociado,,Diseño Pendiente
CP0060,Notificar decisión del caso.,Comunica la resolución a las partes involucradas.,2,Capacidad de Procesos,Definir estrategia de riesgos de cumplimiento.,Cumplimiento,Sin Arquetipo asociado,,Diseño Pendiente
CP0061,Cerrar caso.,Finaliza el expediente tras la ejecución de acciones.,2,Capacidad de Procesos,Definir estrategia de riesgos de cumplimiento.,Cumplimiento,Sin Arquetipo asociado,,Diseño Pendiente
CP0062,Monitorear cierre de caso.,Verifica que las acciones correctivas se hayan implementado.,2,Capacidad de Procesos,Definir estrategia de riesgos de cumplimiento.,Cumplimiento,Sin Arquetipo asociado,,Diseño Pendiente
CP0063,Asegurar ejecución de mitigaciones,Confirma que las medidas adoptadas previenen futuros incumplimientos.,2,Capacidad de Procesos,Definir estrategia de riesgos de cumplimiento.,Cumplimiento,Sin Arquetipo asociado,,Diseño Pendiente
CP0064,Analizar tendencias.,Identifica patrones y tendencias en datos de cumplimiento para anticipar riesgos.,2,Capacidad de Procesos,Definir estrategia de riesgos de cumplimiento.,Cumplimiento,Sin Arquetipo asociado,,Diseño Pendiente
CP0065,Definir escenarios de evaluación de riesgos de cumplimiento.,Establece escenarios hipotéticos para evaluar impactos potenciales.,2,Capacidad de Procesos,Definir estrategia de riesgos de cumplimiento.,Cumplimiento,Sin Arquetipo asociado,,Diseño Pendiente
CP0066,Enriquecer el conocimiento.,Administra la información relevante para fortalecer la cultura de cumplimiento.,2,Capacidad de Procesos,Definir estrategia de riesgos de cumplimiento.,Cumplimiento,Sin Arquetipo asociado,,Diseño Pendiente
CP0067,Monitorear el conocimiento.,Evalúa la efectividad de la transferencia de conocimiento.,2,Capacidad de Procesos,Definir estrategia de riesgos de cumplimiento.,Cumplimiento,Sin Arquetipo asociado,,Diseño Pendiente
CP0068,Supervisar el ciclo de vida del conocimiento.,"Controla la creación, actualización y eliminación de información.",2,Capacidad de Procesos,Definir estrategia de riesgos de cumplimiento.,Cumplimiento,Sin Arquetipo asociado,,Diseño Pendiente
CP0069,"Configurar sistemas de monitoreo, alertas y reportes",Parametriza herramientas tecnológicas para soportar procesos de cumplimiento.,2,Capacidad de Procesos,Definir estrategia de riesgos de cumplimiento.,Cumplimiento,Sin Arquetipo asociado,,Diseño Pendiente
CP0070,Establecer requerimientos funcionales y técnicos.,Especifica las necesidades tecnológicas para soluciones de cumplimiento.,2,Capacidad de Procesos,Definir estrategia de riesgos de cumplimiento.,Cumplimiento,Sin Arquetipo asociado,,Diseño Pendiente
