Código,Paquete (Nivel 1),Subpaquete (Nivel 2),Capacidad de Procesos (Nivel 3),Descripción,Categoría,Dueño de la Capacidad,Dominio,Subdominio Nivel 1,Subdominio Nivel 2,Propia / Heredada,Reusable,Componentes Relacionados,Arquetipos Relacionado,% Nivel de Calidad,Criterios a Revisar,Retroalimentación,Estado,,
CP0015,Gestión estrategia de cumplimientostrategia de cumplimiento,Direccionamiento estrategico de cumplimiento,Asegurar gobierno corporativo,Gestiona la estructura y procesos que aseguran la toma de decisiones alineadas con el cumplimiento.,,,Habilitación empresarial,Cumplimiento,,,No,,,60%,"1,4,5,10,12,13,16,20","Renombrar a una capacidad concreta (p. ej., “Definir gobierno corporativo de cumplimiento” o “Establecer gobierno de cumplimiento”), Eliminar “Gestiona estructura y procesos” (estructura/proceso) y describir el resultado (marco de gobierno definido), Evitar “asegurar” y promesas de alineación como calidad.",Publicada,,
CP0016, Gestión de prevención," Definición de políticas, controles y procedimientos.",Definir y aprobar políticas de cumplimiento.,Crea y valida políticas que aseguren el cumplimiento en la organización.,,,Habilitación empresarial,Cumplimiento,,,No,,,85%,"10,12,17","Dividir en dos capacidades (“Definir políticas…” y “Aprobar políticas…”) o escoger una sola, Ajustar para un solo verbo + objeto, Evitar duplicidad en nombre/definición (“crear/validar”).",Publicada,,
CP0017, Gestión de prevención," Definición de políticas, controles y procedimientos.",Actualizar marcos regulatorios nacionales e internacionales.,Garantiza que las políticas estén alineadas con regulaciones aplicables.,,,Habilitación empresarial,Cumplimiento,NA,,No,,,90%,"4,15","Reemplazar “Garantiza” por una formulación neutra (sin promesa de calidad), Alinear descripción al objeto del nombre: “marcos regulatorios actualizados y documentados” (sin hablar de políticas).",Publicada,,
CP0018,Gestión de la apertura,Crear producto,Crear datos de seguridad,"Generar y registrar los datos de seguridad asociados a un producto, necesarios para su uso seguro y controlado a lo largo de su ciclo de vida.
Esta capacidad permite crear los elementos de seguridad del producto, tales como códigos de verificación (por ejemplo, CVC/CVV), fecha de vencimiento, identificadores de seguridad u otros datos sensibles.",,,Negocios,Medios de pago,"Depósitos a la vista, depósitos a plazo, tarjeta crédito, tarjeta débito, pagos digitales, cheques, recaudos, adquirencia, aceptación digital, pagos empresariales",Propia,Si,,Abrir producto,,,,Publicada,,
CP0019, Gestión de prevención," Definición de políticas, controles y procedimientos.",Actualizar políticas y procedimientos conforme a nuevas regulaciones.,Modifica políticas y procedimientos para cumplir con cambios normativos.,,,Habilitación empresarial,Cumplimiento,NA,,No,,,95%,17,"Evitar redundancia “Actualizar/Modifica”; describir el resultado una sola vez (políticas y procedimientos actualizados), Mantener “conforme a” como condición/regla externa.",Publicada,,
CP0020, Gestión de prevención," Definición de políticas, controles y procedimientos.",Brindar asesoramiento especializado.,Brinda orientación técnica y especializada sobre cumplimiento.,,,Habilitación empresarial,Cumplimiento,,,No,,,90%,"4,17","Quitar el adjetivo de calidad del nombre (p. ej., “Brindar asesoramiento en cumplimiento”), Eliminar redundancia (“especializado/especializada”) y dejar el resultado: asesoramiento brindado sobre cumplimiento.",Publicada,,
CP0021, Gestión de prevención, Evaluación de impactos de lineamientos organizacionales y regulatorios,Identificar riesgos de cumplimiento.,Detecta riesgos potenciales en procesos internos que puedan generar incumplimientos.,,,Habilitación empresarial,Cumplimiento,,,No,,,95%,4,"Eliminar el calificativo “potenciales” o tratarlo como criterio fuera de la definición, Mantener el resultado: riesgos de cumplimiento identificados en procesos internos.",Publicada,,
CP0022, Gestión de prevención, Evaluación de impactos de lineamientos organizacionales y regulatorios,Evaluar impacto normativo en procesos internos.,Analiza cómo las regulaciones afectan los procesos internos y define ajustes necesarios.,,,Habilitación empresarial,Cumplimiento,,,No,,,90%,"10,13","Separar o acotar: evaluar impacto o definir ajustes (dos núcleos), Reescribir sin “cómo” y enfocarlo en el entregable: impacto normativo evaluado sobre procesos internos.",Publicada,,
CP0023, Gestión de prevención, Evaluación de impactos de lineamientos organizacionales y regulatorios,"Implementar controles preventivos, detectivos y correctivos.","Establece mecanismos para prevenir, detectar y corregir incumplimientos.",,,Habilitación empresarial,Cumplimiento,NA,,No,,,90%,"5,13","Ajustar descripción para evitar “mecanismos” (método) y describir el entregable: “controles definidos e implementados”, Mantener el foco en el qué (controles de cumplimiento) sin explicar cómo se previene/detecta/corrige.",Publicada,,
CP0024, Gestión de prevención, Evaluación de impactos de lineamientos organizacionales y regulatorios,Establecer roles y responsabilidades.,Define claramente las funciones y responsabilidades en materia de cumplimiento.,,,Habilitación empresarial,Cumplimiento,,,No,,,95%,5,"Evitar mencionar “roles” en el enunciado si se exige neutralidad por criterio 5; alternativa: “Definir responsabilidades de cumplimiento” (y tratar roles como atributo), Mantener el resultado: responsabilidades definidas y documentadas.",Publicada,,
CP0025, Gestión de prevención, Evaluación de impactos de lineamientos organizacionales y regulatorios,Brindar acompañamiento experto.,Brinda soporte técnico y metodológico en la implementación de procesos de cumplimiento.,,,Habilitación empresarial,Cumplimiento,,,No,,,85%,"4,5,13","Eliminar adjetivos de calidad como “experto”, evitar referencias a enfoques metodológicos o técnicos, reformular la descripción para centrarse solo en el “qué” de la capacidad.",Publicada,,
CP0026, Gestión de prevención, Monitoreo de controles y planes de acción,Supervisar ejecución de controles.,Supervisa la efectividad de los controles implementados.,,,Habilitación empresarial,Cumplimiento,,,No,,,100%,Ninguno,Definición adecuada según los criterios establecidos.,Publicada,,
CP0027, Gestión de prevención, Monitoreo de controles y planes de acción,Analizar incidentes de incumplimiento.,Documenta y analiza los casos de incumplimiento para prevenir recurrencias,,,Habilitación empresarial,Cumplimiento,,,No,,,100%,Ninguno,Definición adecuada según los criterios establecidos.,Publicada,,
CP0028, Gestión de prevención, Monitoreo de controles y planes de acción,Custodiar evidencias.,Garantiza la conservación segura de evidencias relacionadas con cumplimiento.,,,Habilitación empresarial,Cumplimiento,,,No,,,95%,4,Eliminar adjetivos de calidad como “segura” y mantener la descripción en términos funcionales y neutros.,Publicada,,
CP0029, Gestión de prevención, Monitoreo de controles y planes de acción,Supervisar aplicación de medidas disciplinarias.,Ejecuta sanciones conforme a políticas internas ante incumplimientos.,,,Habilitación empresarial,Cumplimiento,,,No,,,100%,Ninguno,Definición adecuada según los criterios establecidos.,Publicada,,
CP0031, Gestión de prevención, Identificación y reporte de brechas en los controles,Supervisar hallazgos.,Administra hallazgos detectados en auditorías o revisiones.,,,Habilitación empresarial,Cumplimiento,,,No,,,100%,Ninguno,Definición adecuada según los criterios establecidos.,Publicada,,
CP0032,Gestión de la apertura,Crear producto,Asociar cuenta al producto,"Vincular una cuenta bancaria con un producto específico, estableciendo la relación operativa necesaria para su funcionamiento.
Esta capacidad permite asociar una cuenta existente al producto generado, definiendo el rol de la cuenta (origen, destino, recaudo, pago, inversión u otro), y asegurando que el producto pueda recibir, registrar o ejecutar movimientos de acuerdo con las condiciones definidas.",,,"Negocios, habilitadores de los negocios","Captaciones, medios de pago, soluciones para empresas, negocios no financieros, transferencias, comercio internacional","Depósitos a la vista, depósitos a plazo, tarjeta crédito, tarjeta débito, pagos digitales, cheques, recaudos, adquirencia, aceptación digital, pagos empresariales",Propia,Si,,Abrir producto,,,,Publicada,,
CP0033, Gestión de prevención, Identificación y reporte de brechas en los controles,Retroalimentar desempeño de supervisión.,Proporciona recomendaciones para optimizar procesos.,,,Habilitación empresarial,Cumplimiento,,,No,,,100%,Ninguno,Definición adecuada según los criterios establecidos.,Publicada,,
CP0043, Gestión de detección, Gestión de denuncias de cumplimiento.,Registrar denuncias y reportes.,Administra la recepción de denuncias internas o externas relacionadas con incumplimientos.,,,Habilitación empresarial,Cumplimiento,,,No,,,100%,Ninguno,Definición adecuada según los criterios establecidos.,Publicada,,
CP0044, Gestión de detección, Gestión de denuncias de cumplimiento.,Clasificar denuncias y reportes.,Categoriza las denuncias según su naturaleza y nivel de riesgo.,,,Habilitación empresarial,Cumplimiento,,,No,,,100%,Ninguno,Definición adecuada según los criterios establecidos.,Publicada,,
CP0045, Gestión de detección, Gestión de denuncias de cumplimiento.,Verificar denuncias y reportes.,Verifica la veracidad inicial de la denuncia antes de iniciar investigación formal.,,,Habilitación empresarial,Cumplimiento,,,No,,,100%,Ninguno,Definición adecuada según los criterios establecidos.,Publicada,,
CP0046, Gestión de alertas de cumplimiento, Valoración y priorización de alertas,Registrar alertas de cumplimiento.,Administra la recepción de alertas generadas por sistemas o procesos internos.,,,Habilitación empresarial,Cumplimiento,,,No,,,95%,5,Eliminar la referencia a “sistemas o procesos internos” y mantener la descripción enfocada únicamente en la capacidad funcional.,Publicada,,
CP0047, Gestión de alertas de cumplimiento, Valoración y priorización de alertas,Clasificar Alertas de cumplimiento.,Organiza las alertas según su tipo y criticidad para priorizar acciones.,,,Habilitación empresarial,Cumplimiento,,,No,,,100%,Ninguno,Definición adecuada según los criterios establecidos.,Publicada,,
CP0048, Gestión de alertas de cumplimiento, Valoración y priorización de alertas,Priorizar Alertas de cumplimiento.,Determina el orden de atención según impacto y urgencia.,,,Habilitación empresarial,Cumplimiento,,,No,,,100%,Ninguno,Definición adecuada según los criterios establecidos.,Publicada,,
CP0049, Gestión de alertas de cumplimiento,Distribución de Alertas,Consolidar alertas por reglas de negocio.,Consolida alertas similares para optimizar la gestión.,,,Habilitación empresarial,Cumplimiento,,,No,,,90%,"5,13",Evitar mencionar “reglas de negocio” por ser un mecanismo del cómo; centrar la descripción en la consolidación funcional de alertas.,Publicada,,
CP0050, Gestión de alertas de cumplimiento,Distribución de Alertas,Distribuir Alertas de cumplimiento.,Asigna las alertas a las áreas responsables para su análisis.,,,Habilitación empresarial,Cumplimiento,,,No,,,90%,5,Eliminar la referencia a “áreas responsables” y mantener la definición desde una perspectiva neutral de la empresa.,Publicada,,
CP0051, Gestión de alertas de cumplimiento,Estructuración de casos,Crear Caso de investigación.,Genera un expediente formal para investigar alertas relevantes.,,,Habilitación empresarial,Cumplimiento,,,No,,,95%,4,Eliminar calificativos como “formal” y mantener una descripción funcional y neutra.,Publicada,,
CP0052, Gestión de alertas de cumplimiento,Estructuración de casos,Notificar creación del caso.,Comunica a las partes involucradas la apertura del caso.,,,Habilitación empresarial,Cumplimiento,,,No,,,100%,Ninguno,Definición adecuada según los criterios establecidos.,Publicada,,
CP0053, Investigación de alertas de cumplimiento, Habilitación de información para análisis.,Consultar Información del caso.,Permite acceder a los datos recopilados durante la investigación.,,,Habilitación empresarial,Cumplimiento,,,No,,,95%,6,Reformular levemente la descripción para que se entienda plenamente sin depender del contexto operativo.,Publicada,,
CP0054, Investigación de alertas de cumplimiento, Habilitación de información para análisis.,Solicitar Información del caso.,Facilita la solicitud de datos adicionales para completar la investigación.,,,Habilitación empresarial,Cumplimiento,,,No,,,95%,6,Ajustar la redacción para que la capacidad sea completamente autoexplicativa y no dependa del flujo de investigación.,Publicada,,
CP0055, Investigación de alertas de cumplimiento, Habilitación de información para análisis.,Consolidar Información del caso.,Integra toda la información relevante en un expediente único.,,,Habilitación empresarial,Cumplimiento,,,No,,,100%,Ninguno,Definición adecuada según los criterios establecidos.,Publicada,,
CP0056, Investigación de alertas de cumplimiento, Habilitación de información para análisis.,Indexar Información al caso,Asocia la información recopilada al expediente correspondiente.,,,Habilitación empresarial,Cumplimiento,,,No,,,100%,Ninguno,Definición adecuada según los criterios establecidos.,Publicada,,
CP0057, Investigación de alertas de cumplimiento,Generación del expediente del caso,Analizar caso de investigación.,Evalúa la información para determinar la existencia de incumplimiento.,,,Habilitación empresarial,Cumplimiento,,,No,,,100%,Ninguno,Definición adecuada según los criterios establecidos.,Publicada,,
CP0058, Investigación de alertas de cumplimiento,Generación del expediente del caso,Documentar caso de investigación.,Registra los hallazgos y conclusiones en un informe formal.,,,Habilitación empresarial,Cumplimiento,,,No,,,95%,4,Eliminar el adjetivo de calidad “formal” y mantener la descripción en términos funcionales y neutros.,Publicada,,
CP0059, Investigación de alertas de cumplimiento, Establecer acciones de mitigación,Emitir decisiones del caso.,Asienta las resoluciones adoptadas tras la investigación.,,,Habilitación empresarial,Cumplimiento,,,No,,,100%,Ninguno,Definición adecuada según los criterios establecidos.,Publicada,,
CP0060, Investigación de alertas de cumplimiento, Establecer acciones de mitigación,Notificar decisión del caso.,Comunica la resolución a las partes involucradas.,,,Habilitación empresarial,Cumplimiento,,,No,,,95%,5,Evitar la referencia a actores (“partes involucradas”) y centrar la descripción en la capacidad de notificación.,Publicada,,
CP0061, Investigación de alertas de cumplimiento, Establecer acciones de mitigación,Cerrar caso.,Finaliza el expediente tras la ejecución de acciones.,,,Habilitación empresarial,Cumplimiento,,,No,,,95%,13,Eliminar la condición operativa “tras la ejecución de acciones” y describir únicamente el resultado funcional del cierre.,Publicada,,
CP0062, Investigación de alertas de cumplimiento, Establecer acciones de mitigación,Monitorear cierre de caso.,Verifica que las acciones correctivas se hayan implementado.,,,Habilitación empresarial,Cumplimiento,,,No,,,100%,Ninguno,Definición adecuada según los criterios establecidos.,Publicada,,
CP0063, Investigación de alertas de cumplimiento, Establecer acciones de mitigación,Asegurar ejecución de mitigaciones,Confirma que las medidas adoptadas previenen futuros incumplimientos.,,,Habilitación empresarial,Cumplimiento,,,No,,,100%,Ninguno,Definición adecuada según los criterios establecidos.,Publicada,,
CP0064, Gestión de innovación y tecnología, Gestión de innovación y mejora continua,Analizar tendencias.,Identifica patrones y tendencias en datos de cumplimiento para anticipar riesgos.,,,Habilitación empresarial,Cumplimiento,,,No,,,100%,Ninguno,Definición adecuada según los criterios establecidos.,Publicada,,
CP0065, Gestión de innovación y tecnología, Gestión de innovación y mejora continua,Definir escenarios de evaluación de riesgos de cumplimiento.,Establece escenarios hipotéticos para evaluar impactos potenciales.,,,Habilitación empresarial,Cumplimiento,NA,,No,,,100%,Ninguno,Definición adecuada según los criterios establecidos.,Publicada,,
CP0066, Gestión de innovación y tecnología, Gestión de innovación y mejora continua,Enriquecer el conocimiento.,Administra la información relevante para fortalecer la cultura de cumplimiento.,,,Habilitación empresarial,Cumplimiento,,,No,,,90%,"8,12","Sustituir el verbo de la descripción por uno válido y específico, eliminar referencias a “cultura” por corresponder a un valor y no a una capacidad.",Publicada,,
CP0067, Gestión de innovación y tecnología, Gestión de innovación y mejora continua,Monitorear el conocimiento.,Evalúa la efectividad de la transferencia de conocimiento.,,,Habilitación empresarial,Cumplimiento,,,No,,,100%,Ninguno,Definición adecuada según los criterios establecidos.,Publicada,,
CP0068, Gestión de innovación y tecnología, Gestión de innovación y mejora continua,Supervisar el ciclo de vida del conocimiento.,"Controla la creación, actualización y eliminación de información.",,,Habilitación empresarial,Cumplimiento,,,No,,,90%,"12,20",Reemplazar el verbo genérico “Controla” por uno específico y acotar el alcance para evitar agrupar múltiples capacidades completas.,Publicada,,
CP0069, Gestión de innovación y tecnología, Gestión Especializada de Soluciones de Cumplimiento,"Configurar sistemas de monitoreo, alertas y reportes",Parametriza herramientas tecnológicas para soportar procesos de cumplimiento.,,,Habilitación empresarial,Cumplimiento,,,No,,,70%,"5,13,14,20","Eliminar referencias a sistemas y herramientas tecnológicas, reformular para describir solo el “qué” funcional y acotar el alcance de la capacidad.",Publicada,,
CP0070, Gestión de innovación y tecnología, Gestión Especializada de Soluciones de Cumplimiento,Establecer requerimientos funcionales y técnicos.,Especifica las necesidades tecnológicas para soluciones de cumplimiento.,,,Habilitación empresarial,Cumplimiento,,,No,,,90%,"5,14",Evitar referencias explícitas a lo tecnológico y mantener la descripción en términos funcionales y de negocio.,Publicada,,
CP0071, Gestión de innovación y tecnología, Gestión Especializada de Soluciones de Cumplimiento,Asegurar desempeño de las soluciones técnologicas.,Garantiza que las soluciones tecnológicas cumplan con los estándares definidos.,,,Habilitación empresarial,Cumplimiento,,,No,,,85%,"4,5,14","Eliminar adjetivos de calidad, evitar menciones tecnológicas y reformular la capacidad desde una perspectiva neutral de negocio.",Publicada,,
CP0072, Gestión de innovación y tecnología, Gestión Especializada de Soluciones de Cumplimiento,Supervisar proveedores y contratos tecnológicos.,Administra la relación con proveedores para asegurar calidad y cumplimiento.,,,Habilitación empresarial,Cumplimiento,,,No,,,85%,"5,14","Eliminar referencias a proveedores y tecnología, reformular la capacidad para enfocarla en el resultado funcional esperado.",Publicada,,
CP0073, Gestión de innovación y tecnología, Gestión Especializada de Soluciones de Cumplimiento,Solucionar incidentes.,Atiende fallas tecnológicas que afecten procesos de cumplimiento.,,,Habilitación empresarial,Cumplimiento,,,No,,,90%,"5,14",Evitar la mención explícita de tecnología y describir la capacidad de forma neutral y transversal al negocio.,Publicada,,
CP0074, Gestión de innovación y tecnología, Gestión Especializada de Soluciones de Cumplimiento,Brindar Soporte especializado.,Brinda asistencia técnica avanzada para sistemas críticos.,,,Habilitación empresarial,Cumplimiento,,,No,,,80%,"4,5,14","Eliminar el adjetivo “especializado”, evitar referencias técnicas y reformular la descripción en términos funcionales.",Publicada,,
CP0075, Gestión de innovación y tecnología, Gestión de inteligencia de información.,Gobernar datos de cumplimiento.,"Esta capacidad permite establecer, implementar y mantener un marco de gobierno de datos orientado al cumplimiento normativo, regulatorio y contractual.",,,Habilitación empresarial,Cumplimiento,,,No,,,95%,13,Simplificar la descripción para enfocarla en el “qué” de la capacidad y evitar explicar el marco o mecanismo de implementación.,Publicada,,
CP0076, Gestión de innovación y tecnología, Gestión de inteligencia de información.,Monitorear entorno de cumplimiento.,"Esta capacidad permite identificar, evaluar y anticipar cambios en el entorno normativo, regulatorio y contractual que puedan impactar la operación, los procesos o la gestión de datos de la organización.",,,Habilitación empresarial,Cumplimiento,,,No,,,90%,"16,20","Simplificar la descripción eliminando la frase explicativa inicial, acotar el alcance para evitar cubrir múltiples dominios completos en una sola capacidad.",Publicada,,
CP0077, Gestión de innovación y tecnología, Gestión de inteligencia de información.,Integrar datos internos y externos.,Consolida información proveniente de diversas fuentes.,,,Habilitación empresarial,Cumplimiento,,,No,,,100%,Ninguno,Definición adecuada según los criterios establecidos.,Publicada,,
CP0078, Gestión de innovación y tecnología, Gestión de inteligencia de información.,Enriquecer datos.,Mejora la calidad y utilidad de los datos para análisis.,,,Habilitación empresarial,Cumplimiento,,,No,,,95%,4,"Eliminar referencias a “calidad” y “utilidad”, reformular la descripción en términos funcionales y neutros.",Publicada,,
CP0079, Gestión de innovación y tecnología, Gestión de inteligencia de información.,Validar fuentes de información.,Garantiza que las fuentes de datos sean confiables y estén actualizadas.,,,Habilitación empresarial,Cumplimiento,,,No,,,95%,4,"Evitar adjetivos de calidad como “confiables” y “actualizadas”, describir la capacidad de forma objetiva.",Publicada,,
CP0080, Gestión de innovación y tecnología, Gestión de soluciones analíticas,Identificar modelos analiticos para el negocio.,Detecta modelos que aporten valor en la gestión de riesgos.,,,Habilitación empresarial,Cumplimiento,,,No,,,95%,8,"Evitar la referencia a “valor”, reformular la descripción desde una perspectiva estrictamente funcional.",Publicada,,
CP0081, Gestión de innovación y tecnología, Gestión de soluciones analíticas,"Definir modelos analíticos (predictivos, descriptivos, prescriptivos).",Diseña modelos que permitan anticipar riesgos y optimizar decisiones.,,,Habilitación empresarial,Cumplimiento,NA,,No,,,85%,"13,20","Eliminar la enumeración de tipos de modelos y resultados esperados, acotar la capacidad al “qué” sin agrupar capacidades completas.",Publicada,,
CP0082, Gestión de innovación y tecnología, Gestión de soluciones analíticas,Normalizar datos de cumplimiento.,Estandariza la información para garantizar consistencia.,,,Habilitación empresarial,Cumplimiento,,,No,,,100%,Ninguno,Definición adecuada según los criterios establecidos.,Publicada,,
CP0083, Gestión de innovación y tecnología, Gestión de soluciones analíticas,Automatizar procesos analíticos.,Implementa soluciones para ejecutar análisis de forma automática.,,,Habilitación empresarial,Cumplimiento,,,No,,,90%,13,Reformular para describir el resultado funcional del análisis sin hacer referencia al mecanismo de automatización.,Publicada,,
CP0084, Gestión de innovación y tecnología, Gestión de soluciones analíticas,Disponibilizar resultados.,Presenta los hallazgos en formatos gráficos comprensibles.,,,Habilitación empresarial,Cumplimiento,,,No,,,95%,13,"Eliminar la referencia a formatos gráficos, mantener la definición centrada en la puesta a disposición de resultados.",Publicada,,
CP0085, Gestión de innovación y tecnología, Gestión de soluciones analíticas,Simular escenarios de riesgo.,Genera escenarios hipotéticos para evaluar impactos.,,,Habilitación empresarial,Cumplimiento,,,No,,,100%,Ninguno,Definición adecuada según los criterios establecidos.,Publicada,,
CP0086, Gestión de innovación y tecnología, Gestión de soluciones analíticas,Disponibilizar informacion de cumplimiento.,"Esta capacidad permite poner a disposición de las áreas del negocio la información relevante relacionada con el cumplimiento normativo, regulatorio y contractual",,,Habilitación empresarial,Cumplimiento,,,No,,,85%,"16,20","Simplificar la descripción eliminando la frase introductoria “Esta capacidad permite”, acotar el alcance para no cubrir múltiples dominios completos.",Publicada,,
CP0093, Acompañamiento especializado de cumplimiento, Atención de solicitudes de cumplimiento,Registrar solicitudes de cumplimiento.,Gestiona la recepción de requerimientos relacionados con procesos normativos.,,,Habilitación empresarial,Cumplimiento,,,No,,,100%,Ninguno,Definición adecuada según los criterios establecidos.,Publicada,,
CP0094, Acompañamiento especializado de cumplimiento, Atención de solicitudes de cumplimiento,Clasificar solicitudes de cumplimiento.,Organiza las solicitudes según su naturaleza y complejidad.,,,Habilitación empresarial,Cumplimiento,,,No,,,100%,Ninguno,Definición adecuada según los criterios establecidos.,Publicada,,
CP0095, Acompañamiento especializado de cumplimiento, Atención de solicitudes de cumplimiento,Distribuir solicitudes de cumplimiento.,Envía las solicitudes a las áreas encargadas.,,,Habilitación empresarial,Cumplimiento,,,No,,,90%,5,Evitar la referencia a “áreas encargadas” y reformular desde una perspectiva neutral de la empresa.,Publicada,,
CP0097, Acompañamiento especializado de cumplimiento, Atención de solicitudes de cumplimiento,Documentar solicitud de cumplimiento.,Registra las acciones realizadas y resultados obtenidos.,,,Habilitación empresarial,Cumplimiento,,,No,,,95%,4,Eliminar referencias a resultados obtenidos y mantener la descripción centrada únicamente en el registro funcional de la información.,Publicada,,
CP0098, Acompañamiento especializado de cumplimiento, Atención de solicitudes de cumplimiento,Cerrar solicitudes de cumplimiento,Concluye el proceso tras la ejecución completa.,,,Habilitación empresarial,Cumplimiento,,,No,,,95%,13,Eliminar la condición operativa “tras la ejecución completa” y describir únicamente el resultado funcional del cierre.,Publicada,,
CP0099, Acompañamiento especializado de cumplimiento, Gestión de relaciones con entes externos,Realizar comunicaciones externas.,"Asegurar que toda comunicación hacia entes externos (autoridades, aliados, proveedores, clientes y público) sea oportuna, coherente, trazable y conforme a la regulación y políticas internas.",,,Habilitación empresarial,Cumplimiento,,,No,,,90%,"4, 12","Cambiar “Realizar” por verbo específico (p. ej., “Comunicar” o “Asegurar comunicaciones externas”), mover atributos de calidad a criterios/controles y mantener la descripción como “qué” (comunicaciones hacia entes externos conforme a regulación y políticas).",Publicada,,
